,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
0,Adamcová Svetluša,,42,Česká str.sociálně demokrat.,ČSSD,ČSSD,12,1919,2.27,6,0,2002
1,Agh Alexandr,,40,"Koalice KDU-ČSL, SZ",SZ,BEZPP,24,336,1.92,0,0,2002
2,Augusta Pavel Ing.,Ing.,38,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,3,1099,2.92,3,0,2002
3,Babák Jindřich,,48,Komunistická str.Čech a Moravy,KSČM,KSČM,15,3749,2.25,1,0,2002
4,Babováková Tatiana JUDr.,JUDr.,48,"Koalice KDU-ČSL, SZ",SZ,BEZPP,10,484,2.77,0,0,2002
5,Bachura Milan,,28,Sdružení nezávislých,SNK ED,BEZPP,29,1226,1.92,24,0,2002
6,Bajer Miloslav Mgr.,Mgr.,58,Občanská demokratická strana,ODS,ODS,16,3373,2.39,7,0,2002
7,Balín Roman,,21,Komunistická str.Čech a Moravy,KSČM,BEZPP,19,3695,2.22,5,0,2002
8,Balín Vlastimil RSDr.,RSDr.,52,Komunistická str.Čech a Moravy,KSČM,KSČM,1,4064,2.44,1,1,2002
9,Balogová Lenka,,37,Česká str.sociálně demokrat.,ČSSD,ČSSD,26,1852,2.19,19,0,2002
10,Bartes Petr,,28,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,38,307,1.76,0,0,2002
11,Bártl Čestmír,,67,Občanská demokratická strana,ODS,ODS,41,2706,1.91,30,0,2002
12,Bártl Vladimír Ing.,Ing.,41,Občanská demokratická strana,ODS,ODS,1,3987,2.82,1,1,2002
13,Bartošová Jana,,58,Komunistická str.Čech a Moravy,KSČM,KSČM,20,3754,2.25,6,0,2002
14,Bejček Josef,,46,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,18,704,1.87,16,0,2002
15,Belej Milan,,32,Komunistická str.Čech a Moravy,KSČM,KSČM,22,3677,2.21,8,0,2002
16,Belej Radek,,27,Komunistická str.Čech a Moravy,KSČM,KSČM,10,3751,2.25,10,1,2002
17,Beránková Anna Ing.,Ing.,56,Str.pro otevřenou společnost,SOS,BEZPP,43,1274,1.84,38,0,2002
18,Berger František,,42,Str.pro otevřenou společnost,SOS,BEZPP,29,1477,2.14,24,0,2002
19,Bertholdová Zdeňka,,40,Česká str.sociálně demokrat.,ČSSD,ČSSD,32,1817,2.14,25,0,2002
20,Bezucha František,,51,Česká str.sociálně demokrat.,ČSSD,ČSSD,17,1896,2.24,10,0,2002
21,Binko Vladislav,,39,Str.pro otevřenou společnost,SOS,BEZPP,19,1497,2.16,14,0,2002
22,Bláhová Milada,,39,Komunistická str.Čech a Moravy,KSČM,KSČM,27,3676,2.21,13,0,2002
23,Bočan Ondřej Ing.,Ing.,27,Unie svobody-Demokratická unie,US-DEU,BEZPP,31,360,3.34,0,0,2002
24,Böhm Jiří,,57,Komunistická str.Čech a Moravy,KSČM,KSČM,45,3329,2.0,31,0,2002
25,Bohuslavová Eva,,53,Sdružení nezávislých,SNK ED,BEZPP,18,1412,2.22,15,0,2002
26,Brabec Miroslav,,54,Str.pro otevřenou společnost,SOS,BEZPP,22,1482,2.14,17,0,2002
